comparison_id,dataset,claim_role,candidate,baseline,metric,direction,n_pairs,candidate_mean,baseline_mean,mean_improvement,relative_improvement_percent,win_rate,tie_rate,sign_test_p,bootstrap95_low,bootstrap95_high
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,chamfer,lower,548,31.10907791013507,26.463022467239757,-4.646055442895315,-17.556783049430425,0.3156934306569343,0.3083941605839416,0.10023207092054298,-9.912337839993656,1.5240122288217584
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,hausdorff,lower,548,95.87013822192037,74.64781642499464,-21.222321796925723,-28.429929786693346,0.23357664233576642,0.3175182481751825,1.4491240429848062e-09,-29.278089267500658,-12.748034667029119
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,broken_segments,lower,704,13.644886363636363,15.686079545454545,2.0411931818181817,13.012768269491987,0.3181818181818182,0.48579545454545453,7.91387098031393e-06,0.9389204545454546,3.0894886363636362
glh_topoiwl_fusion_vs_deeplabv3_mobilenet,GLH-Water,stress_test_boundary_localization,TopoIWL-Net + continuity fusion,DeepLabV3-MobileNet,abs_component_diff,lower,704,1.2059659090909092,0.7698863636363636,-0.43607954545454547,-56.64206642066421,0.1875,0.4928977272727273,1.1207571196658606e-06,-0.5681818181818182,-0.3025568181818182
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,iou,higher,284,0.8596445958370524,0.8430487312436765,0.0165958645933759,1.9685534155176845,0.4612676056338028,0.3908450704225352,2.223843331705666e-11,0.009486085278490819,0.02453749946586183
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,f1,higher,284,0.9063591585164482,0.8913259376162277,0.015033220900220435,1.6866131979088876,0.4612676056338028,0.3908450704225352,2.223843331705666e-11,0.008311114040013494,0.023362763183833634
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_1,higher,284,0.9158089988611942,0.8877115291765739,0.028097469684620242,3.1651576848036407,0.5105633802816901,0.35563380281690143,4.6629367034256575e-15,0.018099710392908887,0.03909849899286182
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_2,higher,284,0.9325964880336253,0.9058694640701371,0.02672702396348818,2.950427740813972,0.5246478873239436,0.35563380281690143,0.0,0.016853972129769305,0.03729268417276045
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_3,higher,284,0.9421024865643669,0.9178230574646788,0.024279429099688013,2.645327866000182,0.5246478873239436,0.35563380281690143,0.0,0.01526533742037421,0.0344820214867692
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_5,higher,284,0.9515157122763385,0.9299688317905196,0.021546880485818893,2.316946520060625,0.4964788732394366,0.35563380281690143,4.3443026953582375e-13,0.01291028605048515,0.032163810604514766
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,chamfer,lower,282,4.059116492315737,7.298778210852265,3.2396617185365275,44.38635652361107,0.48936170212765956,0.3546099290780142,5.4390936199411044e-12,1.7383759637377862,5.30465353356567
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,hausdorff,lower,282,60.134688781235724,72.96763771065463,12.832948929418901,17.587178826189483,0.35106382978723405,0.4645390070921986,0.00018152742253518817,8.174588936332963,18.22665416097297
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,broken_segments,lower,284,16.116197183098592,26.788732394366196,10.672535211267606,39.83964248159832,0.36619718309859156,0.5246478873239436,5.763239885325788e-10,6.869718309859155,14.92605633802817
gf6_full_vs_mask_only,GF6_TCUNet,ablation_causality,Full TopoIWL-Net,Mask-only variant,abs_component_diff,lower,284,15.028169014084508,15.975352112676056,0.9471830985915493,5.929027992065241,0.3274647887323944,0.4788732394366197,0.0023549542516945188,-2.3450704225352115,3.517605633802817
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,iou,higher,317,0.9801559840774757,0.9789094142084651,0.0012465698690106342,0.12734271945056289,0.6088328075709779,0.0,0.00013385234762020026,-0.0013385957850005656,0.004168409696071573
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,f1,higher,317,0.9892110865902526,0.9886693813765668,0.0005417052136857618,0.05479134115911655,0.6088328075709779,0.0,0.00013385234762020026,-0.0011043863747636725,0.0023521619895226042
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_1,higher,317,0.6758437309842892,0.4211160390110042,0.25472769197328493,60.488717687294894,0.9936908517350158,0.0,0.0,0.24430805981753836,0.26465692843420957
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_2,higher,317,0.8336234998134762,0.5495670026607531,0.28405649715272296,51.68732761928041,0.9905362776025236,0.0,0.0,0.2724781781344057,0.296394086377743
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_3,higher,317,0.9077903509410097,0.6144611759917405,0.2933291749492692,47.73762548558675,0.9873817034700315,0.0,0.0,0.28087846389871396,0.3063446882991492
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,bf1_5,higher,317,0.9462657058734782,0.6542940156729748,0.2919716902005034,44.62392796000061,0.9873817034700315,0.0,0.0,0.27878642090157685,0.3051354174424689
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,chamfer,lower,317,4.333261007719819,84.7583461669603,80.42508515924047,94.88751113762413,0.9873817034700315,0.0,0.0,74.66574470027138,86.4466625846459
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,hausdorff,lower,317,29.224451610015944,303.4972230422663,274.27277143225035,90.37076803633686,0.9873817034700315,0.0,0.0,260.1594114045787,288.66146430617937
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,broken_segments,lower,317,22.630914826498422,31.173501577287066,8.542586750788644,27.403359643796804,0.7697160883280757,0.07255520504731862,0.0,6.659305993690852,10.384858044164037
sealand_full_vs_mask_only,SeaLand_Coastline_2025,ablation_causality,Full TopoIWL-Net,Mask-only variant,abs_component_diff,lower,317,173.46687697160883,176.9495268138801,3.4826498422712935,1.968160019966841,0.6182965299684543,0.2902208201892745,0.0,2.829652996845426,4.192429022082019
